id,ip,user_agent,referrer,country,city,status,created_at,updated_at
19,"192.175.111.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","http://www.creavibe.dev/","Canada","Montreal","active","2025-09-10 00:28:54","2025-09-10 00:28:54"
20,"64.15.129.107","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","http://www.creavibe.dev/","Canada","Montreal","active","2025-09-10 00:29:02","2025-09-10 00:29:02"
21,"64.15.129.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","Direct","Canada","Montreal","active","2025-09-10 00:29:03","2025-09-10 00:29:03"
22,"192.175.111.252","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","http://www.creavibe.dev/","Canada","Montreal","active","2025-09-10 00:29:05","2025-09-10 00:29:05"
23,"44.236.207.248","Go-http-client/2.0","Direct","United States","Portland","active","2025-09-10 00:29:49","2025-09-10 00:29:49"
24,"44.236.207.248","Go-http-client/2.0","Direct","United States","Portland","active","2025-09-10 00:29:49","2025-09-10 00:29:49"
25,"44.236.207.248","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/137.0.0.0 Safari/537.36","Direct","United States","Portland","active","2025-09-10 00:29:50","2025-09-10 00:29:50"
26,"2a01:4ff:f0:f144::1","Mozilla/5.0 (Windows NT 11.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 GLS/100.10.9939.127","Direct","United States","Ashburn","active","2025-09-10 00:32:10","2025-09-10 00:32:10"
27,"2a02:4780:28:50c8::1","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0","Direct","France","Paris","active","2025-09-10 00:32:13","2025-09-10 00:32:13"
28,"34.90.214.70","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/17.4","Direct","Netherlands","Groningen","active","2025-09-10 00:36:58","2025-09-10 00:36:58"
29,"34.116.240.157","Mozilla/5.0 (iPhone13,2; U; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/15E148 Safari/602.1","Direct","Poland","Warsaw","active","2025-09-10 00:43:28","2025-09-10 00:43:28"
30,"34.118.21.81","Mozilla/5.0 (iPhone13,2; U; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/15E148 Safari/602.1","Direct","Poland","Warsaw","active","2025-09-10 00:43:31","2025-09-10 00:43:31"
31,"2600:3c0e::f03c:95ff:fe6a:55a8","Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/126.0.6478.107 Mobile/15E148 Safari/604.1","Direct","The Netherlands","Amsterdam","active","2025-09-10 00:54:35","2025-09-10 00:54:35"
32,"2001:bc8:1201:1b:46a8:42ff:fe1b:b9b6","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.3","Direct","France","Paris","active","2025-09-10 01:09:53","2025-09-10 01:09:53"
33,"35.92.8.193","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","http://creavibe.dev","United States","Portland","active","2025-09-10 01:10:18","2025-09-10 01:10:18"
34,"35.92.8.193","Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1","http://creavibe.dev","United States","Portland","active","2025-09-10 01:10:19","2025-09-10 01:10:19"
35,"54.213.127.190","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","http://www.creavibe.dev","United States","Portland","active","2025-09-10 01:16:26","2025-09-10 01:16:26"
36,"54.213.127.190","Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1","http://www.creavibe.dev","United States","Portland","active","2025-09-10 01:16:28","2025-09-10 01:16:28"
37,"34.220.93.37","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Direct","United States","Portland","active","2025-09-10 01:19:40","2025-09-10 01:19:40"
38,"34.220.93.37","Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1","Direct","United States","Portland","active","2025-09-10 01:19:46","2025-09-10 01:19:46"
39,"35.86.170.218","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.19582","Direct","United States","Portland","active","2025-09-10 01:24:18","2025-09-10 01:24:18"
40,"35.86.170.218","Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1","Direct","United States","Portland","active","2025-09-10 01:24:22","2025-09-10 01:24:22"
41,"34.213.6.181","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Direct","United States","Portland","active","2025-09-10 01:24:44","2025-09-10 01:24:44"
42,"34.213.6.181","Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1","Direct","United States","Portland","active","2025-09-10 01:24:50","2025-09-10 01:24:50"
43,"34.118.38.240","Mozilla/5.0 (iPhone13,2; U; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/15E148 Safari/602.1","Direct","Poland","Warsaw","active","2025-09-10 01:31:31","2025-09-10 01:31:31"
44,"34.118.20.166","Mozilla/5.0 (iPhone13,2; U; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/15E148 Safari/602.1","Direct","Poland","Warsaw","active","2025-09-10 01:36:27","2025-09-10 01:36:27"
45,"3.81.172.153","okhttp/4.9.2","Direct","United States","Ashburn","active","2025-09-10 01:44:16","2025-09-10 01:44:16"
46,"3.81.172.153","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/138.0.7204.23 Safari/537.36","Direct","United States","Ashburn","active","2025-09-10 01:45:04","2025-09-10 01:45:04"
47,"34.248.137.227","Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0","Direct","Ireland","Dublin","active","2025-09-10 02:24:03","2025-09-10 02:24:03"
48,"34.248.137.227","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","Direct","Ireland","Dublin","active","2025-09-10 02:24:04","2025-09-10 02:24:04"
49,"34.248.137.227","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36","Direct","Ireland","Dublin","active","2025-09-10 02:24:06","2025-09-10 02:24:06"
50,"34.248.137.227","Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0","Direct","Ireland","Dublin","active","2025-09-10 02:24:18","2025-09-10 02:24:18"
51,"34.248.137.227","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","Direct","Ireland","Dublin","active","2025-09-10 02:24:19","2025-09-10 02:24:19"
52,"34.248.137.227","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36","Direct","Ireland","Dublin","active","2025-09-10 02:24:20","2025-09-10 02:24:20"
53,"103.4.250.53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Direct","United States","New York","active","2025-09-10 02:59:55","2025-09-10 02:59:55"
54,"154.28.229.206","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","Direct","United States","Ashburn","active","2025-09-10 02:59:55","2025-09-10 02:59:55"
55,"154.28.229.206","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","Direct","United States","Ashburn","active","2025-09-10 03:00:11","2025-09-10 03:00:11"
56,"147.93.155.10","Mozilla/5.0 (Windows NT 10.0; WOW64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.182 Safari/537.36","Direct","India","Mumbai","active","2025-09-10 03:10:09","2025-09-10 03:10:09"
57,"104.164.126.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Direct","United States","Santa Clara","active","2025-09-10 03:38:26","2025-09-10 03:38:26"
58,"104.252.191.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","Direct","United States","New York","active","2025-09-10 03:38:26","2025-09-10 03:38:26"
59,"104.164.126.92","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Direct","United States","Santa Clara","active","2025-09-10 03:38:36","2025-09-10 03:38:36"
60,"34.232.109.104","okhttp/4.9.2","Direct","United States","Ashburn","active","2025-09-10 03:40:29","2025-09-10 03:40:29"
61,"34.232.109.104","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/138.0.7204.23 Safari/537.36","Direct","United States","Ashburn","active","2025-09-10 03:40:53","2025-09-10 03:40:53"
62,"154.28.229.208","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Direct","United States","Ashburn","active","2025-09-10 03:50:18","2025-09-10 03:50:18"
63,"103.196.9.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","Direct","United States","New York","active","2025-09-10 03:50:18","2025-09-10 03:50:18"
64,"154.28.229.208","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Direct","United States","Ashburn","active","2025-09-10 03:50:35","2025-09-10 03:50:35"
65,"18.205.149.109","okhttp/4.9.2","Direct","United States","Ashburn","active","2025-09-10 04:04:43","2025-09-10 04:04:43"
66,"18.205.149.109","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/138.0.7204.23 Safari/537.36","Direct","United States","Ashburn","active","2025-09-10 04:05:50","2025-09-10 04:05:50"
67,"104.252.191.137","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","Direct","United States","New York","active","2025-09-10 04:35:47","2025-09-10 04:35:47"
68,"107.172.195.158","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","Direct","United States","Elk Grove Village","active","2025-09-10 04:55:14","2025-09-10 04:55:14"
69,"104.164.173.248","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Direct","United States","Santa Clara","active","2025-09-10 04:55:14","2025-09-10 04:55:14"
70,"107.172.195.158","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","Direct","United States","Elk Grove Village","active","2025-09-10 04:55:26","2025-09-10 04:55:26"
71,"103.115.187.8","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Direct","United States","Boston","active","2025-09-10 05:14:17","2025-09-10 05:14:17"
72,"103.115.186.143","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Direct","United States","Boston","active","2025-09-10 05:17:07","2025-09-10 05:17:07"
73,"85.254.181.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","Direct","United States","New York","active","2025-09-10 05:17:22","2025-09-10 05:17:22"
74,"205.169.39.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36","Direct","United States","Dallas","active","2025-09-10 06:19:00","2025-09-10 06:19:00"
75,"104.252.191.65","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","Direct","United States","New York","active","2025-09-10 06:50:15","2025-09-10 06:50:15"
76,"103.4.250.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Direct","United States","New York","active","2025-09-10 06:50:15","2025-09-10 06:50:15"
77,"104.252.191.65","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","Direct","United States","New York","active","2025-09-10 06:50:26","2025-09-10 06:50:26"
78,"205.169.39.191","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36","Direct","United States","Dallas","active","2025-09-10 06:51:41","2025-09-10 06:51:41"
79,"205.169.39.191","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36","Direct","United States","Dallas","active","2025-09-10 06:51:57","2025-09-10 06:51:57"
80,"44.200.68.58","okhttp/4.9.2","Direct","United States","Ashburn","active","2025-09-10 07:43:41","2025-09-10 07:43:41"
81,"44.200.68.58","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/138.0.7204.23 Safari/537.36","Direct","United States","Ashburn","active","2025-09-10 07:43:53","2025-09-10 07:43:53"
82,"3.237.14.168","okhttp/4.9.2","Direct","United States","Ashburn","active","2025-09-10 07:43:54","2025-09-10 07:43:54"
83,"205.169.39.204","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36","Direct","United States","Dallas","active","2025-09-10 07:45:15","2025-09-10 07:45:15"
84,"205.169.39.204","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36","Direct","United States","Dallas","active","2025-09-10 07:45:26","2025-09-10 07:45:26"
85,"103.221.247.70","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36","https://www.google.com/","Pakistan","Faisalabad","active","2025-09-10 08:48:26","2025-09-10 08:48:26"
86,"66.249.93.224","Mozilla/5.0 (Linux; Android 11; moto g power (2022)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36 Chrome-Lighthouse","Direct","United States","Mountain View","active","2025-09-10 09:24:18","2025-09-10 09:24:18"
87,"66.249.93.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Chrome-Lighthouse","Direct","United States","Mountain View","active","2025-09-10 09:24:19","2025-09-10 09:24:19"
88,"74.125.208.78","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Chrome-Lighthouse","Direct","United States","Mountain View","active","2025-09-10 09:24:23","2025-09-10 09:24:23"
89,"66.102.9.172","Mozilla/5.0 (Linux; Android 11; moto g power (2022)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36 Chrome-Lighthouse","Direct","United States","Mountain View","active","2025-09-10 09:24:24","2025-09-10 09:24:24"
90,"74.125.208.77","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Chrome-Lighthouse","Direct","United States","Mountain View","active","2025-09-10 09:24:29","2025-09-10 09:24:29"
91,"66.102.9.173","Mozilla/5.0 (Linux; Android 11; moto g power (2022)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36 Chrome-Lighthouse","Direct","United States","Mountain View","active","2025-09-10 09:24:30","2025-09-10 09:24:30"
93,"94.247.172.129","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2)","Direct","Sweden","Falkenberg","active","2025-09-10 10:03:13","2025-09-10 10:03:13"
95,"66.249.93.230","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)","Direct","United States","Mountain View","active","2025-09-10 10:03:50","2025-09-10 10:03:50"
96,"66.249.83.131","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)","Direct","United States","Mountain View","active","2025-09-10 10:03:51","2025-09-10 10:03:51"
97,"66.249.83.129","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)","Direct","United States","Mountain View","active","2025-09-10 10:03:51","2025-09-10 10:03:51"
98,"34.87.27.135","Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36","http://creavibe.dev/","Singapore","Singapore","active","2025-09-10 10:07:06","2025-09-10 10:07:06"
99,"54.144.130.32","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","Direct","United States","Ashburn","active","2025-09-10 10:10:10","2025-09-10 10:10:10"
100,"43.158.90.153","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3","Direct","Germany","Frankfurt","active","2025-09-10 10:25:40","2025-09-10 10:25:40"
106,"44.223.55.92","okhttp/4.9.2","Direct","United States","Ashburn","active","2025-09-10 11:38:38","2025-09-10 11:38:38"
107,"43.198.222.145","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Direct","Hong Kong","Hong Kong","active","2025-09-10 11:44:39","2025-09-10 11:44:39"
108,"54.159.111.2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.66 Safari/537.36 Edg/103.0.1264.44","Direct","United States","Ashburn","active","2025-09-10 12:16:50","2025-09-10 12:16:50"
109,"3.95.161.200","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","Direct","United States","Ashburn","active","2025-09-10 12:17:22","2025-09-10 12:17:22"
114,"165.22.225.232","Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0","Direct","Canada","Toronto","active","2025-09-10 12:55:41","2025-09-10 12:55:41"
115,"44.251.56.49","Mozilla/5.0 (X11; U; FreeBSD i386; de-CH; rv:1.9.2.8) Gecko/20100729 Firefox/3.6.8","Direct","United States","Portland","active","2025-09-10 13:21:38","2025-09-10 13:21:38"
116,"52.12.115.92","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36","Direct","United States","Portland","active","2025-09-10 13:28:15","2025-09-10 13:28:15"
118,"43.131.40.140","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3","Direct","Germany","Frankfurt","active","2025-09-10 14:02:06","2025-09-10 14:02:06"
119,"2a02:4780:6:c0de::8","Go-http-client/2.0","Direct","Indonesia","Jakarta","active","2025-09-10 14:26:39","2025-09-10 14:26:39"
120,"17.241.227.79","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)","Direct","United States","Cupertino","active","2025-09-10 16:03:25","2025-09-10 16:03:25"
121,"17.241.227.97","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)","Direct","United States","Cupertino","active","2025-09-10 16:08:57","2025-09-10 16:08:57"
122,"34.69.138.94","Mozilla/5.0 (compatible; CMS-Checker/1.0; +https://example.com)","http://creavibe.dev","United States","Council Bluffs","active","2025-09-10 16:09:35","2025-09-10 16:09:35"
123,"34.14.51.77","Mozilla/5.0 (compatible; CMS-Checker/1.0; +https://example.com)","http://www.creavibe.dev","Belgium","Brussels","active","2025-09-10 16:44:15","2025-09-10 16:44:15"
124,"162.62.54.61","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3","Direct","Germany","Frankfurt am Main","active","2025-09-10 17:38:39","2025-09-10 17:38:39"
125,"3.235.241.253","okhttp/4.9.2","Direct","United States","Ashburn","active","2025-09-10 17:47:23","2025-09-10 17:47:23"
126,"3.235.241.253","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/138.0.7204.23 Safari/537.36","Direct","United States","Ashburn","active","2025-09-10 17:48:37","2025-09-10 17:48:37"
127,"34.147.27.237","Scrapy/2.12.0 (+https://scrapy.org)","Direct","Netherlands","Groningen","active","2025-09-10 18:07:30","2025-09-10 18:07:30"
128,"34.147.27.237","Scrapy/2.12.0 (+https://scrapy.org)","Direct","Netherlands","Groningen","active","2025-09-10 18:08:14","2025-09-10 18:08:14"
129,"2a03:2880:30ff:70::","Mozilla/5.0 (Linux; Android 11.0; Surface Duo) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.6045.105 Mobile Safari/537.36","Direct","Sweden","Luleå","active","2025-09-10 18:21:54","2025-09-10 18:21:54"
130,"2a03:2880:13ff:71::","facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)","Direct","United States","Springfield","active","2025-09-10 18:22:34","2025-09-10 18:22:34"
131,"44.251.56.49","Mozilla/5.0 (X11; Linux x86_64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1","Direct","United States","Portland","active","2025-09-10 20:20:50","2025-09-10 20:20:50"
132,"34.22.157.5","Mozilla/5.0 (compatible; CMS-Checker/1.0; +https://example.com)","http://creavibe.dev","Belgium","Brussels","active","2025-09-10 20:40:08","2025-09-10 20:40:08"
133,"2001:bc8:1201:38:46a8:42ff:fe4b:118a","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.3","Direct","France","Paris","active","2025-09-10 20:52:12","2025-09-10 20:52:12"
